image_id,file,model,num_gt,num_pred,time_sec
4167,000315_jpg.rf.uGx72PMQ1HgOJGbubX2x.jpg,Grounding DINO,1,21,0.288002
4520,Screwdriver (1059)_JPEG.rf.pr0uyz5q2DRFzTwnKaKd.JPEG,YOLO fine-tuned,1,3,0.080364
4520,Screwdriver (1059)_JPEG.rf.pr0uyz5q2DRFzTwnKaKd.JPEG,OWL-ViT,1,5,0.037457
4520,Screwdriver (1059)_JPEG.rf.pr0uyz5q2DRFzTwnKaKd.JPEG,OWLv2,1,19,0.189989
4520,Screwdriver (1059)_JPEG.rf.pr0uyz5q2DRFzTwnKaKd.JPEG,Grounding DINO,1,50,0.260951
5146,000036_jpg.rf.Tpv3VuvE38eFY4kLjywI.jpg,YOLO fine-tuned,2,13,0.018991
5146,000036_jpg.rf.Tpv3VuvE38eFY4kLjywI.jpg,OWL-ViT,2,5,0.039126
5146,000036_jpg.rf.Tpv3VuvE38eFY4kLjywI.jpg,OWLv2,2,3,0.185779
5146,000036_jpg.rf.Tpv3VuvE38eFY4kLjywI.jpg,Grounding DINO,2,34,0.288211
1606,Wrench (1005)_JPEG.rf.iWuBKovNmCmbw0swjJU3.JPEG,YOLO fine-tuned,1,2,0.020551
1606,Wrench (1005)_JPEG.rf.iWuBKovNmCmbw0swjJU3.JPEG,OWL-ViT,1,4,0.039513
1606,Wrench (1005)_JPEG.rf.iWuBKovNmCmbw0swjJU3.JPEG,OWLv2,1,5,0.189068
1606,Wrench (1005)_JPEG.rf.iWuBKovNmCmbw0swjJU3.JPEG,Grounding DINO,1,18,0.302250
2180,000270_jpg.rf.mHuxz2INJV6XklBxxX1p.jpg,YOLO fine-tuned,1,1,0.019046
2180,000270_jpg.rf.mHuxz2INJV6XklBxxX1p.jpg,OWL-ViT,1,3,0.038766
2180,000270_jpg.rf.mHuxz2INJV6XklBxxX1p.jpg,OWLv2,1,3,0.183252
2180,000270_jpg.rf.mHuxz2INJV6XklBxxX1p.jpg,Grounding DINO,1,15,0.291204
2926,Wrench (435)_JPEG.rf.9mMhQ3TG7AiEmTEufagk.JPEG,YOLO fine-tuned,3,9,0.019356
2926,Wrench (435)_JPEG.rf.9mMhQ3TG7AiEmTEufagk.JPEG,OWL-ViT,3,5,0.037715
2926,Wrench (435)_JPEG.rf.9mMhQ3TG7AiEmTEufagk.JPEG,OWLv2,3,6,0.190010
2926,Wrench (435)_JPEG.rf.9mMhQ3TG7AiEmTEufagk.JPEG,Grounding DINO,3,34,0.289215
1657,000311_jpg.rf.kV3OGzRcXZd9D1fL5PiQ.jpg,YOLO fine-tuned,6,10,0.020129
1657,000311_jpg.rf.kV3OGzRcXZd9D1fL5PiQ.jpg,OWL-ViT,6,26,0.037680
1657,000311_jpg.rf.kV3OGzRcXZd9D1fL5PiQ.jpg,OWLv2,6,35,0.186278
1657,000311_jpg.rf.kV3OGzRcXZd9D1fL5PiQ.jpg,Grounding DINO,6,51,0.275690
2969,000166_jpg.rf.zRZoZrf7gmbWB5hjARTC.jpg,YOLO fine-tuned,1,3,0.018901
2969,000166_jpg.rf.zRZoZrf7gmbWB5hjARTC.jpg,OWL-ViT,1,3,0.036780
2969,000166_jpg.rf.zRZoZrf7gmbWB5hjARTC.jpg,OWLv2,1,5,0.183627
2969,000166_jpg.rf.zRZoZrf7gmbWB5hjARTC.jpg,Grounding DINO,1,16,0.243321
1726,Screwdriver (707)_JPEG.rf.5H8W4ODL8bItlYO7goiC.JPEG,YOLO fine-tuned,3,6,0.018939
1726,Screwdriver (707)_JPEG.rf.5H8W4ODL8bItlYO7goiC.JPEG,OWL-ViT,3,10,0.036748
1726,Screwdriver (707)_JPEG.rf.5H8W4ODL8bItlYO7goiC.JPEG,OWLv2,3,26,0.183524
1726,Screwdriver (707)_JPEG.rf.5H8W4ODL8bItlYO7goiC.JPEG,Grounding DINO,3,32,0.296051
4868,Hammer (1118)_JPEG.rf.wvnXPEi9T9LAbRfuvsJS.JPEG,YOLO fine-tuned,1,3,0.019712
4868,Hammer (1118)_JPEG.rf.wvnXPEi9T9LAbRfuvsJS.JPEG,OWL-ViT,1,3,0.036828
4868,Hammer (1118)_JPEG.rf.wvnXPEi9T9LAbRfuvsJS.JPEG,OWLv2,1,3,0.184635
4868,Hammer (1118)_JPEG.rf.wvnXPEi9T9LAbRfuvsJS.JPEG,Grounding DINO,1,21,0.236115
2528,Wrench (504)_JPEG.rf.esE7jfx1woKCT2pGAAeu.JPEG,YOLO fine-tuned,1,1,0.018766
2528,Wrench (504)_JPEG.rf.esE7jfx1woKCT2pGAAeu.JPEG,OWL-ViT,1,1,0.036437
2528,Wrench (504)_JPEG.rf.esE7jfx1woKCT2pGAAeu.JPEG,OWLv2,1,2,0.183670
2528,Wrench (504)_JPEG.rf.esE7jfx1woKCT2pGAAeu.JPEG,Grounding DINO,1,19,0.225520
4342,Hammer (2106)_JPEG.rf.sd3sPju9b5tFHHfzpCpP.JPEG,YOLO fine-tuned,3,27,0.020296
4342,Hammer (2106)_JPEG.rf.sd3sPju9b5tFHHfzpCpP.JPEG,OWL-ViT,3,23,0.038389
4342,Hammer (2106)_JPEG.rf.sd3sPju9b5tFHHfzpCpP.JPEG,OWLv2,3,15,0.185953
4342,Hammer (2106)_JPEG.rf.sd3sPju9b5tFHHfzpCpP.JPEG,Grounding DINO,3,23,0.279889
2102,Wrench (756)_JPEG.rf.N2xXLQtG2x5MIjHomYto.JPEG,YOLO fine-tuned,1,2,0.019279
2102,Wrench (756)_JPEG.rf.N2xXLQtG2x5MIjHomYto.JPEG,OWL-ViT,1,3,0.042807
2102,Wrench (756)_JPEG.rf.N2xXLQtG2x5MIjHomYto.JPEG,OWLv2,1,3,0.185305
2102,Wrench (756)_JPEG.rf.N2xXLQtG2x5MIjHomYto.JPEG,Grounding DINO,1,17,0.301607
3409,Wrench (593)_JPEG.rf.15jCuZjpMGLRPpqHnVbJ.JPEG,YOLO fine-tuned,1,1,0.079848
3409,Wrench (593)_JPEG.rf.15jCuZjpMGLRPpqHnVbJ.JPEG,OWL-ViT,1,1,0.036197
